Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm]
Lattice,113,PLA,foamed elastomer,23.633543837173093,10.0,2.5,0.8327908609307161,0.5,1.249186291396074
Lattice,114,PLA,none,23.633543837173093,10.0,2.5,0.8327908609307161,0.5,1.249186291396074
Lattice,115,PLA,dense elastomer,12.041380446194395,10.0,2.5,0.3355087776872755,0.5,0.5032631665309133
Lattice,116,PLA,foamed elastomer,12.041380446194395,10.0,2.5,0.3355087776872755,0.5,0.5032631665309133
Lattice,117,PLA,none,12.041380446194395,10.0,2.5,0.3355087776872755,0.5,0.5032631665309133
Lattice,118,PLA,dense elastomer,13.21909441660462,10.0,2.5,1.1723272523809292,0.5,1.7584908785713937
Lattice,119,PLA,foamed elastomer,13.21909441660462,10.0,2.5,1.1723272523809292,0.5,1.7584908785713937
Lattice,120,PLA,none,13.21909441660462,10.0,2.5,1.1723272523809292,0.5,1.7584908785713937
Lattice,121,PLA,dense elastomer,21.81534927473704,10.0,2.5,0.9661367195507259,0.5,1.4492050793260889
Lattice,122,PLA,foamed elastomer,21.81534927473704,10.0,2.5,0.9661367195507259,0.5,1.4492050793260889
Lattice,123,PLA,none,21.81534927473704,10.0,2.5,0.9661367195507259,0.5,1.4492050793260889
Lattice,124,PLA,dense elastomer,44.40012858777,10.0,2.5,0.9468082165850291,0.5,1.4202123248775438
Lattice,125,PLA,foamed elastomer,44.40012858777,10.0,2.5,0.9468082165850291,0.5,1.4202123248775438
Lattice,126,PLA,none,44.40012858777,10.0,2.5,0.9468082165850291,0.5,1.4202123248775438
Lattice,127,PLA,dense elastomer,40.27050411765492,10.0,2.5,0.8812978753349354,0.5,1.3219468130024032
Lattice,128,PLA,foamed elastomer,40.27050411765492,10.0,2.5,0.8812978753349354,0.5,1.3219468130024032
Lattice,129,PLA,none,40.27050411765492,10.0,2.5,0.8812978753349354,0.5,1.3219468130024032
Lattice,130,PLA,dense elastomer,30.355784673120887,10.0,2.5,0.9067920664179354,0.5,1.3601880996269031
Lattice,131,PLA,foamed elastomer,30.355784673120887,10.0,2.5,0.9067920664179354,0.5,1.3601880996269031
Lattice,132,PLA,none,30.355784673120887,10.0,2.5,0.9067920664179354,0.5,1.3601880996269031
Lattice,133,PLA,dense elastomer,47.68794561054872,10.0,2.5,1.0089967533495154,0.5,1.5134951300242732
Lattice,134,PLA,foamed elastomer,47.68794561054872,10.0,2.5,1.0089967533495154,0.5,1.5134951300242732
Lattice,135,PLA,none,47.68794561054872,10.0,2.5,1.0089967533495154,0.5,1.5134951300242732
Lattice,136,PLA,dense elastomer,21.52468294811818,10.0,2.5,1.0696100320277093,0.5,1.604415048041564
Lattice,137,PLA,foamed elastomer,21.52468294811818,10.0,2.5,1.0696100320277093,0.5,1.604415048041564
