Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm],Inner radius [mm]
Chiral,151,PLA,dense elastomer,30.049841973655308,10.0,2.5,1.2468074799717221,0.5,1.2468074799717221,1.2610211833328173
Chiral,152,PLA,foamed elastomer,30.049841973655308,10.0,2.5,1.2468074799717221,0.5,1.2468074799717221,1.2610211833328173
Chiral,153,PLA,none,30.049841973655308,10.0,2.5,1.2468074799717221,0.5,1.2468074799717221,1.2610211833328173
Chiral,154,PLA,dense elastomer,20.744801593581677,10.0,2.5,0.3968878054647509,0.5,0.3968878054647509,1.4109520833414149
Chiral,155,PLA,foamed elastomer,20.744801593581677,10.0,2.5,0.3968878054647509,0.5,0.3968878054647509,1.4109520833414149
Chiral,156,PLA,none,20.744801593581677,10.0,2.5,0.3968878054647509,0.5,0.3968878054647509,1.4109520833414149
Chiral,157,PLA,dense elastomer,30.89855812942734,10.0,2.5,0.6414314842167004,0.5,0.6414314842167004,1.2847146503530549
Chiral,158,PLA,foamed elastomer,30.89855812942734,10.0,2.5,0.6414314842167004,0.5,0.6414314842167004,1.2847146503530549
Chiral,159,PLA,none,30.89855812942734,10.0,2.5,0.6414314842167004,0.5,0.6414314842167004,1.2847146503530549
Chiral,160,PLA,dense elastomer,23.675338253114653,10.0,2.5,0.8842611791907127,0.5,0.8842611791907127,1.6201855814001065
Chiral,161,PLA,foamed elastomer,23.675338253114653,10.0,2.5,0.8842611791907127,0.5,0.8842611791907127,1.6201855814001065
Chiral,162,PLA,none,23.675338253114653,10.0,2.5,0.8842611791907127,0.5,0.8842611791907127,1.6201855814001065
Chiral,163,PLA,dense elastomer,10.928754548905971,10.0,2.5,0.9685340273947665,0.5,0.9685340273947665,1.6369764667315978
Chiral,164,PLA,foamed elastomer,10.928754548905971,10.0,2.5,0.9685340273947665,0.5,0.9685340273947665,1.6369764667315978
Chiral,165,PLA,none,10.928754548905971,10.0,2.5,0.9685340273947665,0.5,0.9685340273947665,1.6369764667315978
Chiral,166,PLA,dense elastomer,34.71159014899936,10.0,2.5,1.1899808985424085,0.5,1.1899808985424085,1.4376777982858577
Chiral,167,PLA,foamed elastomer,34.71159014899936,10.0,2.5,1.1899808985424085,0.5,1.1899808985424085,1.4376777982858577
Chiral,168,PLA,none,34.71159014899936,10.0,2.5,1.1899808985424085,0.5,1.1899808985424085,1.4376777982858577
Chiral,169,PLA,dense elastomer,21.80354537409727,10.0,2.5,1.2045176686868122,0.5,1.2045176686868122,1.278194123920785
Chiral,170,PLA,foamed elastomer,21.80354537409727,10.0,2.5,1.2045176686868122,0.5,1.2045176686868122,1.278194123920785
Chiral,171,PLA,none,21.80354537409727,10.0,2.5,1.2045176686868122,0.5,1.2045176686868122,1.278194123920785
Chiral,172,PLA,dense elastomer,24.182124811302458,10.0,2.5,0.28759455606436757,0.5,0.28759455606436757,1.705542869761979
Chiral,173,PLA,foamed elastomer,24.182124811302458,10.0,2.5,0.28759455606436757,0.5,0.28759455606436757,1.705542869761979
Chiral,174,PLA,none,24.182124811302458,10.0,2.5,0.28759455606436757,0.5,0.28759455606436757,1.705542869761979
Chiral,175,PLA,dense elastomer,16.99572644316687,10.0,2.5,1.0820152992929772,0.5,1.0820152992929772,1.9107706220499
Chiral,176,PLA,foamed elastomer,16.99572644316687,10.0,2.5,1.0820152992929772,0.5,1.0820152992929772,1.9107706220499
Chiral,177,PLA,none,16.99572644316687,10.0,2.5,1.0820152992929772,0.5,1.0820152992929772,1.9107706220499
Chiral,178,PLA,dense elastomer,29.04281847020397,10.0,2.5,0.8910610736722704,0.5,0.8910610736722704,1.363281450642659
Chiral,179,PLA,foamed elastomer,29.04281847020397,10.0,2.5,0.8910610736722704,0.5,0.8910610736722704,1.363281450642659
Chiral,180,PLA,none,29.04281847020397,10.0,2.5,0.8910610736722704,0.5,0.8910610736722704,1.363281450642659
Chiral,181,PLA,dense elastomer,16.772392272866348,10.0,2.5,0.6016117294237557,0.5,0.6016117294237557,1.769305370395167
Chiral,182,PLA,foamed elastomer,16.772392272866348,10.0,2.5,0.6016117294237557,0.5,0.6016117294237557,1.769305370395167
Chiral,183,PLA,none,16.772392272866348,10.0,2.5,0.6016117294237557,0.5,0.6016117294237557,1.769305370395167
Chiral,184,PLA,dense elastomer,33.53375079903032,10.0,2.5,0.5287535205083317,0.5,0.5287535205083317,1.3168891268446
Chiral,185,PLA,foamed elastomer,33.53375079903032,10.0,2.5,0.5287535205083317,0.5,0.5287535205083317,1.3168891268446
Chiral,186,PLA,none,33.53375079903032,10.0,2.5,0.5287535205083317,0.5,0.5287535205083317,1.3168891268446
Chiral,187,PLA,dense elastomer,18.21983081414182,10.0,2.5,0.7661120199377356,0.5,0.7661120199377356,1.8203706740940826
Chiral,188,PLA,foamed elastomer,18.21983081414182,10.0,2.5,0.7661120199377356,0.5,0.7661120199377356,1.8203706740940826
Chiral,189,PLA,none,18.21983081414182,10.0,2.5,0.7661120199377356,0.5,0.7661120199377356,1.8203706740940826
Chiral,190,PLA,dense elastomer,36.84223727069835,10.0,2.5,0.5985767759597522,0.5,0.5985767759597522,1.036216819454506
Chiral,191,PLA,foamed elastomer,36.84223727069835,10.0,2.5,0.5985767759597522,0.5,0.5985767759597522,1.036216819454506
Chiral,192,PLA,none,36.84223727069835,10.0,2.5,0.5985767759597522,0.5,0.5985767759597522,1.036216819454506
Chiral,193,PLA,dense elastomer,35.381399481533485,10.0,2.5,0.8659479381993214,0.5,0.8659479381993214,1.927206269247075
Chiral,194,PLA,foamed elastomer,35.381399481533485,10.0,2.5,0.8659479381993214,0.5,0.8659479381993214,1.927206269247075
Chiral,195,PLA,none,35.381399481533485,10.0,2.5,0.8659479381993214,0.5,0.8659479381993214,1.927206269247075
Chiral,196,PLA,dense elastomer,39.92143711757508,10.0,2.5,1.0877213829480337,0.5,1.0877213829480337,1.199097193232852
