Unit Cell,ID,Error,E1,E2,E3,Nu12,Nu13,Nu23,G12,G13,G23,Stiff volume,Total volume
Re-entrant,86,9.85E-06,0.841589734,0.213790641,78.74990756,1.960616909,0.002725468,0.001064705,0.038975335,19.90084363,10.86484399,29.37051418,750.0001644
Re-entrant,87,8.52E-06,0.530808994,0.133264773,78.70297799,1.980884428,0.002024689,0.000507283,0.016366853,19.88769007,10.85137022,29.37051418,750.0001644
Re-entrant,88,3.32E-05,33.58886178,40.69876161,89.90527976,-0.046244136,0.179321608,0.202033419,0.402170582,16.2606966,13.3222667,33.06225565,750.0000264
Re-entrant,89,1.20E-05,1.330247145,2.285962309,88.66317663,-0.727130041,0.005274489,0.008741628,0.022495079,15.86028384,12.96952153,33.06225565,750.0000264
Re-entrant,90,4.75E-05,0.729915262,1.268069542,88.61807724,-0.739067385,0.002482613,0.004308106,0.005293386,15.84494009,12.95604445,33.06225565,750.0000264
Re-entrant,91,5.97E-06,9.846820066,4.733815482,80.22623303,1.279127218,0.011570265,0.047236722,0.506140269,20.24518359,11.21776301,29.37034103,750.0000198
Re-entrant,92,9.07E-06,0.843032699,0.214162835,78.74972041,1.960550466,0.002726782,0.001068304,0.039068058,19.90078882,10.86507246,29.37034103,750.0000198
Re-entrant,93,8.91E-06,0.540075319,0.13559214,78.70262811,1.980616539,0.002053686,0.000519412,0.016507455,19.88763536,10.8515987,29.37034103,750.0000198
Re-entrant,94,1.14E-05,31.62220829,40.29224607,89.75992695,-0.064956393,0.174585384,0.202707948,0.402527442,16.25050651,13.32233071,33.06217518,749.9999846
Re-entrant,95,1.25E-05,1.22130899,2.106615075,88.66261494,-0.728614919,0.004912091,0.008145229,0.025318185,15.85999739,12.969587,33.06217518,749.9999846
Re-entrant,96,5.79E-06,0.730330878,1.268805085,88.61804443,-0.739051538,0.002482702,0.004308837,0.010506316,15.84505334,12.9561135,33.06217518,749.9999846
Re-entrant,97,6.49E-06,44.79960362,19.3566944,122.9821934,0.355560775,0.137618499,0.089866625,0.534512972,13.19863672,9.694253237,45.54186062,750.000051
Re-entrant,98,2.12E-05,3.623792699,0.305960644,121.9522736,-3.237676491,0.01028907,0.001166289,0.026542008,12.53049983,9.330323374,45.54186062,750.000051
Re-entrant,99,3.19E-05,0.629452759,0.050030269,121.9129159,-3.511253184,0.001556643,0.000125317,0.00455656,12.5046041,9.316373616,45.54186062,750.000051
Re-entrant,100,1.13E-05,33.60318413,40.70499894,89.91116653,-0.045978925,0.179338954,0.202022978,0.402200601,16.26244914,13.3242903,33.06219082,749.9999301
Re-entrant,101,2.20E-05,1.32660767,2.279846022,88.66765592,-0.727205301,0.005275583,0.008738189,0.022486522,15.86214964,12.97155322,33.06219082,749.9999301
Re-entrant,102,1.66E-05,0.734056231,1.275381396,88.62360125,-0.738918078,0.002476812,0.004306762,0.005279423,15.84680978,12.95807914,33.06219082,749.9999301
Re-entrant,103,1.02E-05,44.79867859,19.35679257,122.9816985,0.355617495,0.137610555,0.089865184,0.534491144,13.19846092,9.694072872,45.54172273,749.9999637
Re-entrant,104,2.40E-05,3.628427767,0.306385432,121.9515867,-3.23723826,0.010293563,0.00116526,0.026553862,12.53039445,9.330139501,45.54172273,749.9999637
Re-entrant,105,1.46E-05,0.630440501,0.050131828,121.9119248,-3.510390793,0.001562976,0.000126649,0.004647373,12.50450777,9.316242821,45.54172273,749.9999637
Re-entrant,106,1.84E-05,37.08627064,15.66233976,166.1012371,0.662285998,0.077633549,0.055997284,0.86085129,11.40613012,6.796991709,61.64925599,750.0001461
