Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm],Upper strut length [mm],Lower strut length [mm]
Re-entrant,112,PLA,dense elastomer,30,10,2.5,0.75,0.05,0.75,8.25,3.75
Re-entrant,113,PLA,foamed elastomer,30,10,2.5,0.75,0.05,0.75,8.25,3.75
Re-entrant,114,PLA,none,30,10,2.5,0.75,0.05,0.75,8.25,3.75
Re-entrant,115,PLA,dense elastomer,30,10,2.5,0.75,0.05,0.75,12.75,3.75
Re-entrant,116,PLA,foamed elastomer,30,10,2.5,0.75,0.05,0.75,12.75,3.75
Re-entrant,117,PLA,none,30,10,2.5,0.75,0.05,0.75,12.75,3.75
Re-entrant,118,PLA,dense elastomer,30,10,2.5,0.75,0.05,0.75,3.75,8.25
Re-entrant,119,PLA,foamed elastomer,30,10,2.5,0.75,0.05,0.75,3.75,8.25
Re-entrant,120,PLA,none,30,10,2.5,0.75,0.05,0.75,3.75,8.25
Re-entrant,121,PLA,dense elastomer,30,10,2.5,0.75,0.05,0.75,8.25,8.25
Re-entrant,122,PLA,foamed elastomer,30,10,2.5,0.75,0.05,0.75,8.25,8.25
Re-entrant,123,PLA,none,30,10,2.5,0.75,0.05,0.75,8.25,8.25
Re-entrant,124,PLA,dense elastomer,30,10,2.5,0.75,0.05,0.75,12.75,8.25
Re-entrant,125,PLA,foamed elastomer,30,10,2.5,0.75,0.05,0.75,12.75,8.25
Re-entrant,126,PLA,none,30,10,2.5,0.75,0.05,0.75,12.75,8.25
Re-entrant,127,PLA,dense elastomer,30,10,2.5,0.75,0.05,0.75,3.75,12.75
Re-entrant,128,PLA,foamed elastomer,30,10,2.5,0.75,0.05,0.75,3.75,12.75
Re-entrant,129,PLA,none,30,10,2.5,0.75,0.05,0.75,3.75,12.75
Re-entrant,130,PLA,dense elastomer,30,10,2.5,0.75,0.05,0.75,8.25,12.75
Re-entrant,131,PLA,foamed elastomer,30,10,2.5,0.75,0.05,0.75,8.25,12.75
Re-entrant,132,PLA,none,30,10,2.5,0.75,0.05,0.75,8.25,12.75
Re-entrant,133,PLA,dense elastomer,30,10,2.5,0.75,0.05,0.75,12.75,12.75
Re-entrant,134,PLA,foamed elastomer,30,10,2.5,0.75,0.05,0.75,12.75,12.75
Re-entrant,135,PLA,none,30,10,2.5,0.75,0.05,0.75,12.75,12.75
Re-entrant,136,PLA,dense elastomer,30,10,2.5,1.25,0.05,1.25,3.75,3.75
Re-entrant,137,PLA,foamed elastomer,30,10,2.5,1.25,0.05,1.25,3.75,3.75
Re-entrant,138,PLA,none,30,10,2.5,1.25,0.05,1.25,3.75,3.75
Re-entrant,139,PLA,dense elastomer,30,10,2.5,1.25,0.05,1.25,8.25,3.75
Re-entrant,140,PLA,foamed elastomer,30,10,2.5,1.25,0.05,1.25,8.25,3.75
Re-entrant,141,PLA,none,30,10,2.5,1.25,0.05,1.25,8.25,3.75
Re-entrant,142,PLA,dense elastomer,30,10,2.5,1.25,0.05,1.25,12.75,3.75
