Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm],Upper strut length [mm],Lower strut length [mm]
Re-entrant,515,PLA,foamed elastomer,32.70300645,10,2.5,0.897707338,0.05,0.897707338,6.650506583,5.906430815
Re-entrant,516,PLA,none,32.70300645,10,2.5,0.897707338,0.05,0.897707338,6.650506583,5.906430815
Re-entrant,517,PLA,dense elastomer,10.58621225,10,2.5,0.569453437,0.05,0.569453437,3.984075813,2.971981232
Re-entrant,518,PLA,foamed elastomer,10.58621225,10,2.5,0.569453437,0.05,0.569453437,3.984075813,2.971981232
Re-entrant,519,PLA,none,10.58621225,10,2.5,0.569453437,0.05,0.569453437,3.984075813,2.971981232
Re-entrant,520,PLA,dense elastomer,46.07479563,10,2.5,0.504870362,0.05,0.504870362,17.59951641,9.461389773
Re-entrant,521,PLA,foamed elastomer,46.07479563,10,2.5,0.504870362,0.05,0.504870362,17.59951641,9.461389773
Re-entrant,522,PLA,none,46.07479563,10,2.5,0.504870362,0.05,0.504870362,17.59951641,9.461389773
Re-entrant,523,PLA,dense elastomer,32.48994366,10,2.5,0.851385652,0.05,0.851385652,9.274918529,6.239891571
Re-entrant,524,PLA,foamed elastomer,32.48994366,10,2.5,0.851385652,0.05,0.851385652,9.274918529,6.239891571
Re-entrant,525,PLA,none,32.48994366,10,2.5,0.851385652,0.05,0.851385652,9.274918529,6.239891571
Re-entrant,526,PLA,dense elastomer,33.30226654,10,2.5,0.605767512,0.05,0.605767512,4.683783794,4.469620378
Re-entrant,527,PLA,foamed elastomer,33.30226654,10,2.5,0.605767512,0.05,0.605767512,4.683783794,4.469620378
Re-entrant,528,PLA,none,33.30226654,10,2.5,0.605767512,0.05,0.605767512,4.683783794,4.469620378
Re-entrant,529,PLA,dense elastomer,17.65844076,10,2.5,0.864372353,0.05,0.864372353,2.505710959,6.044629289
Re-entrant,530,PLA,foamed elastomer,17.65844076,10,2.5,0.864372353,0.05,0.864372353,2.505710959,6.044629289
Re-entrant,531,PLA,none,17.65844076,10,2.5,0.864372353,0.05,0.864372353,2.505710959,6.044629289
Re-entrant,532,PLA,dense elastomer,18.60250218,10,2.5,1.165897666,0.05,1.165897666,5.417074301,4.08321427
Re-entrant,533,PLA,foamed elastomer,18.60250218,10,2.5,1.165897666,0.05,1.165897666,5.417074301,4.08321427
Re-entrant,534,PLA,none,18.60250218,10,2.5,1.165897666,0.05,1.165897666,5.417074301,4.08321427
Re-entrant,535,PLA,dense elastomer,36.72727402,10,2.5,0.524958908,0.05,0.524958908,14.80543825,14.2934944
Re-entrant,536,PLA,foamed elastomer,36.72727402,10,2.5,0.524958908,0.05,0.524958908,14.80543825,14.2934944
Re-entrant,537,PLA,none,36.72727402,10,2.5,0.524958908,0.05,0.524958908,14.80543825,14.2934944
Re-entrant,538,PLA,dense elastomer,20.45700601,10,2.5,1.180465387,0.05,1.180465387,6.720441564,8.049250195
Re-entrant,539,PLA,foamed elastomer,20.45700601,10,2.5,1.180465387,0.05,1.180465387,6.720441564,8.049250195
Re-entrant,540,PLA,none,20.45700601,10,2.5,1.180465387,0.05,1.180465387,6.720441564,8.049250195
Re-entrant,541,PLA,dense elastomer,10.1052358,10,2.5,1.054857947,0.05,1.054857947,3.075610799,3.079149925
Re-entrant,542,PLA,foamed elastomer,10.1052358,10,2.5,1.054857947,0.05,1.054857947,3.075610799,3.079149925
Re-entrant,543,PLA,none,10.1052358,10,2.5,1.054857947,0.05,1.054857947,3.075610799,3.079149925
Re-entrant,544,PLA,dense elastomer,36.90791955,10,2.5,0.379967753,0.05,0.379967753,13.13462928,4.681634745
Re-entrant,545,PLA,foamed elastomer,36.90791955,10,2.5,0.379967753,0.05,0.379967753,13.13462928,4.681634745
Re-entrant,546,PLA,none,36.90791955,10,2.5,0.379967753,0.05,0.379967753,13.13462928,4.681634745
Re-entrant,547,PLA,dense elastomer,38.91767556,10,2.5,0.577470164,0.05,0.577470164,13.88029323,13.3309727
Re-entrant,548,PLA,foamed elastomer,38.91767556,10,2.5,0.577470164,0.05,0.577470164,13.88029323,13.3309727
Re-entrant,549,PLA,none,38.91767556,10,2.5,0.577470164,0.05,0.577470164,13.88029323,13.3309727
Re-entrant,550,PLA,dense elastomer,21.28853379,10,2.5,0.484156642,0.05,0.484156642,6.026266222,6.130052271
Re-entrant,551,PLA,foamed elastomer,21.28853379,10,2.5,0.484156642,0.05,0.484156642,6.026266222,6.130052271
Re-entrant,552,PLA,none,21.28853379,10,2.5,0.484156642,0.05,0.484156642,6.026266222,6.130052271
Re-entrant,553,PLA,dense elastomer,22.55697198,10,2.5,0.392128394,0.05,0.392128394,3.445614824,7.258636778
Re-entrant,554,PLA,foamed elastomer,22.55697198,10,2.5,0.392128394,0.05,0.392128394,3.445614824,7.258636778
Re-entrant,555,PLA,none,22.55697198,10,2.5,0.392128394,0.05,0.392128394,3.445614824,7.258636778
Re-entrant,556,PLA,dense elastomer,43.9034158,10,2.5,0.989104406,0.05,0.989104406,14.76392067,12.35201068
Re-entrant,557,PLA,foamed elastomer,43.9034158,10,2.5,0.989104406,0.05,0.989104406,14.76392067,12.35201068
Re-entrant,558,PLA,none,43.9034158,10,2.5,0.989104406,0.05,0.989104406,14.76392067,12.35201068
Re-entrant,559,PLA,dense elastomer,44.93110858,10,2.5,0.469370975,0.05,0.469370975,9.905733758,12.52930666
Re-entrant,560,PLA,foamed elastomer,44.93110858,10,2.5,0.469370975,0.05,0.469370975,9.905733758,12.52930666
Re-entrant,561,PLA,none,44.93110858,10,2.5,0.469370975,0.05,0.469370975,9.905733758,12.52930666
Re-entrant,562,PLA,dense elastomer,27.78968923,10,2.5,0.825836035,0.05,0.825836035,6.641272975,11.26066825
Re-entrant,563,PLA,foamed elastomer,27.78968923,10,2.5,0.825836035,0.05,0.825836035,6.641272975,11.26066825
Re-entrant,564,PLA,none,27.78968923,10,2.5,0.825836035,0.05,0.825836035,6.641272975,11.26066825
Re-entrant,565,PLA,dense elastomer,19.31335926,10,2.5,0.704971471,0.05,0.704971471,5.319071213,5.084923346
Re-entrant,566,PLA,foamed elastomer,19.31335926,10,2.5,0.704971471,0.05,0.704971471,5.319071213,5.084923346
Re-entrant,567,PLA,none,19.31335926,10,2.5,0.704971471,0.05,0.704971471,5.319071213,5.084923346
Re-entrant,568,PLA,dense elastomer,14.93028764,10,2.5,0.938605249,0.05,0.938605249,4.743366649,2.307134337
Re-entrant,569,PLA,foamed elastomer,14.93028764,10,2.5,0.938605249,0.05,0.938605249,4.743366649,2.307134337
Re-entrant,570,PLA,none,14.93028764,10,2.5,0.938605249,0.05,0.938605249,4.743366649,2.307134337
Re-entrant,571,PLA,dense elastomer,29.5174442,10,2.5,0.834088255,0.05,0.834088255,7.795844508,8.399583841
Re-entrant,572,PLA,foamed elastomer,29.5174442,10,2.5,0.834088255,0.05,0.834088255,7.795844508,8.399583841
Re-entrant,573,PLA,none,29.5174442,10,2.5,0.834088255,0.05,0.834088255,7.795844508,8.399583841
Re-entrant,574,PLA,dense elastomer,14.70151113,10,2.5,0.382848352,0.05,0.382848352,6.198735811,2.14733269
Re-entrant,575,PLA,foamed elastomer,14.70151113,10,2.5,0.382848352,0.05,0.382848352,6.198735811,2.14733269
Re-entrant,576,PLA,none,14.70151113,10,2.5,0.382848352,0.05,0.382848352,6.198735811,2.14733269
Re-entrant,577,PLA,dense elastomer,13.22685629,10,2.5,0.790373055,0.05,0.790373055,2.367533011,2.95219373
Re-entrant,578,PLA,foamed elastomer,13.22685629,10,2.5,0.790373055,0.05,0.790373055,2.367533011,2.95219373
Re-entrant,579,PLA,none,13.22685629,10,2.5,0.790373055,0.05,0.790373055,2.367533011,2.95219373
Re-entrant,580,PLA,dense elastomer,25.92203205,10,2.5,1.152116435,0.05,1.152116435,8.423379968,8.278500012
Re-entrant,581,PLA,foamed elastomer,25.92203205,10,2.5,1.152116435,0.05,1.152116435,8.423379968,8.278500012
Re-entrant,582,PLA,none,25.92203205,10,2.5,1.152116435,0.05,1.152116435,8.423379968,8.278500012
Re-entrant,583,PLA,dense elastomer,22.72880291,10,2.5,0.464163034,0.05,0.464163034,4.886861602,5.70681924
Re-entrant,584,PLA,foamed elastomer,22.72880291,10,2.5,0.464163034,0.05,0.464163034,4.886861602,5.70681924
Re-entrant,585,PLA,none,22.72880291,10,2.5,0.464163034,0.05,0.464163034,4.886861602,5.70681924
Re-entrant,586,PLA,dense elastomer,49.24682082,10,2.5,0.612884806,0.05,0.612884806,16.42040068,16.25915585
Re-entrant,587,PLA,foamed elastomer,49.24682082,10,2.5,0.612884806,0.05,0.612884806,16.42040068,16.25915585
Re-entrant,588,PLA,none,49.24682082,10,2.5,0.612884806,0.05,0.612884806,16.42040068,16.25915585
Re-entrant,589,PLA,dense elastomer,11.32961603,10,2.5,0.32236444,0.05,0.32236444,2.119349435,3.102809429
Re-entrant,590,PLA,foamed elastomer,11.32961603,10,2.5,0.32236444,0.05,0.32236444,2.119349435,3.102809429
Re-entrant,591,PLA,none,11.32961603,10,2.5,0.32236444,0.05,0.32236444,2.119349435,3.102809429
Re-entrant,592,PLA,dense elastomer,31.45408944,10,2.5,1.174509337,0.05,1.174509337,4.597251556,8.178409045
Re-entrant,593,PLA,foamed elastomer,31.45408944,10,2.5,1.174509337,0.05,1.174509337,4.597251556,8.178409045
Re-entrant,594,PLA,none,31.45408944,10,2.5,1.174509337,0.05,1.174509337,4.597251556,8.178409045
Re-entrant,595,PLA,dense elastomer,47.75087883,10,2.5,1.008434029,0.05,1.008434029,12.08868676,18.43367987
Re-entrant,596,PLA,foamed elastomer,47.75087883,10,2.5,1.008434029,0.05,1.008434029,12.08868676,18.43367987
Re-entrant,597,PLA,none,47.75087883,10,2.5,1.008434029,0.05,1.008434029,12.08868676,18.43367987
Re-entrant,598,PLA,dense elastomer,16.41966115,10,2.5,1.107676032,0.05,1.107676032,4.082637723,5.65551051
Re-entrant,599,PLA,foamed elastomer,16.41966115,10,2.5,1.107676032,0.05,1.107676032,4.082637723,5.65551051
Re-entrant,600,PLA,none,16.41966115,10,2.5,1.107676032,0.05,1.107676032,4.082637723,5.65551051
Re-entrant,601,PLA,dense elastomer,26.23504679,10,2.5,1.160883084,0.05,1.160883084,11.12520249,7.421919441
Re-entrant,602,PLA,foamed elastomer,26.23504679,10,2.5,1.160883084,0.05,1.160883084,11.12520249,7.421919441
Re-entrant,603,PLA,none,26.23504679,10,2.5,1.160883084,0.05,1.160883084,11.12520249,7.421919441
Re-entrant,604,PLA,dense elastomer,20.63654641,10,2.5,0.695006622,0.05,0.695006622,5.666575603,5.161618981
Re-entrant,605,PLA,foamed elastomer,20.63654641,10,2.5,0.695006622,0.05,0.695006622,5.666575603,5.161618981
Re-entrant,606,PLA,none,20.63654641,10,2.5,0.695006622,0.05,0.695006622,5.666575603,5.161618981
Re-entrant,607,PLA,dense elastomer,32.92508511,10,2.5,0.261938496,0.05,0.261938496,12.44521593,10.55931379
Re-entrant,608,PLA,foamed elastomer,32.92508511,10,2.5,0.261938496,0.05,0.261938496,12.44521593,10.55931379
Re-entrant,609,PLA,none,32.92508511,10,2.5,0.261938496,0.05,0.261938496,12.44521593,10.55931379
Re-entrant,610,PLA,dense elastomer,39.67378758,10,2.5,0.34918669,0.05,0.34918669,6.307070513,7.487497413
Re-entrant,611,PLA,foamed elastomer,39.67378758,10,2.5,0.34918669,0.05,0.34918669,6.307070513,7.487497413
Re-entrant,612,PLA,none,39.67378758,10,2.5,0.34918669,0.05,0.34918669,6.307070513,7.487497413
Re-entrant,613,PLA,dense elastomer,49.043346,10,2.5,0.640277171,0.05,0.640277171,11.31343133,6.322373536
Re-entrant,614,PLA,foamed elastomer,49.043346,10,2.5,0.640277171,0.05,0.640277171,11.31343133,6.322373536
Re-entrant,615,PLA,none,49.043346,10,2.5,0.640277171,0.05,0.640277171,11.31343133,6.322373536
Re-entrant,616,PLA,dense elastomer,19.91630664,10,2.5,1.195024913,0.05,1.195024913,8.061223995,5.135847974
Re-entrant,617,PLA,foamed elastomer,19.91630664,10,2.5,1.195024913,0.05,1.195024913,8.061223995,5.135847974
Re-entrant,618,PLA,none,19.91630664,10,2.5,1.195024913,0.05,1.195024913,8.061223995,5.135847974
Re-entrant,619,PLA,dense elastomer,25.41731538,10,2.5,0.543836378,0.05,0.543836378,9.777409119,4.055257539
Re-entrant,620,PLA,foamed elastomer,25.41731538,10,2.5,0.543836378,0.05,0.543836378,9.777409119,4.055257539
Re-entrant,621,PLA,none,25.41731538,10,2.5,0.543836378,0.05,0.543836378,9.777409119,4.055257539
Re-entrant,622,PLA,dense elastomer,43.42067578,10,2.5,0.557238423,0.05,0.557238423,6.940245083,13.41940992
Re-entrant,623,PLA,foamed elastomer,43.42067578,10,2.5,0.557238423,0.05,0.557238423,6.940245083,13.41940992
Re-entrant,624,PLA,none,43.42067578,10,2.5,0.557238423,0.05,0.557238423,6.940245083,13.41940992
Re-entrant,625,PLA,dense elastomer,31.18260595,10,2.5,0.290583824,0.05,0.290583824,12.2095527,7.278940856
Re-entrant,626,PLA,foamed elastomer,31.18260595,10,2.5,0.290583824,0.05,0.290583824,12.2095527,7.278940856
Re-entrant,627,PLA,none,31.18260595,10,2.5,0.290583824,0.05,0.290583824,12.2095527,7.278940856
Re-entrant,628,PLA,dense elastomer,26.50508104,10,2.5,0.5531357,0.05,0.5531357,5.89417362,9.374697531
Re-entrant,629,PLA,foamed elastomer,26.50508104,10,2.5,0.5531357,0.05,0.5531357,5.89417362,9.374697531
Re-entrant,630,PLA,none,26.50508104,10,2.5,0.5531357,0.05,0.5531357,5.89417362,9.374697531
Re-entrant,631,PLA,dense elastomer,25.10435099,10,2.5,0.710722283,0.05,0.710722283,7.226935907,10.42994516
Re-entrant,632,PLA,foamed elastomer,25.10435099,10,2.5,0.710722283,0.05,0.710722283,7.226935907,10.42994516
Re-entrant,633,PLA,none,25.10435099,10,2.5,0.710722283,0.05,0.710722283,7.226935907,10.42994516
Re-entrant,634,PLA,dense elastomer,23.70088446,10,2.5,0.279050524,0.05,0.279050524,4.683846294,5.609942455
Re-entrant,635,PLA,foamed elastomer,23.70088446,10,2.5,0.279050524,0.05,0.279050524,4.683846294,5.609942455
Re-entrant,636,PLA,none,23.70088446,10,2.5,0.279050524,0.05,0.279050524,4.683846294,5.609942455
Re-entrant,637,PLA,dense elastomer,17.84352532,10,2.5,0.512713043,0.05,0.512713043,2.313165,7.205890278
Re-entrant,638,PLA,foamed elastomer,17.84352532,10,2.5,0.512713043,0.05,0.512713043,2.313165,7.205890278
Re-entrant,639,PLA,none,17.84352532,10,2.5,0.512713043,0.05,0.512713043,2.313165,7.205890278
Re-entrant,640,PLA,dense elastomer,29.11301136,10,2.5,1.073000806,0.05,1.073000806,9.635675197,12.03557961
Re-entrant,641,PLA,foamed elastomer,29.11301136,10,2.5,1.073000806,0.05,1.073000806,9.635675197,12.03557961
Re-entrant,642,PLA,none,29.11301136,10,2.5,1.073000806,0.05,1.073000806,9.635675197,12.03557961
Re-entrant,643,PLA,dense elastomer,21.02989962,10,2.5,0.846976489,0.05,0.846976489,2.904398528,8.344899818
Re-entrant,644,PLA,foamed elastomer,21.02989962,10,2.5,0.846976489,0.05,0.846976489,2.904398528,8.344899818
Re-entrant,645,PLA,none,21.02989962,10,2.5,0.846976489,0.05,0.846976489,2.904398528,8.344899818
Re-entrant,646,PLA,dense elastomer,31.69025051,10,2.5,1.11176521,0.05,1.11176521,8.658401132,4.196615628
Re-entrant,647,PLA,foamed elastomer,31.69025051,10,2.5,1.11176521,0.05,1.11176521,8.658401132,4.196615628
Re-entrant,648,PLA,none,31.69025051,10,2.5,1.11176521,0.05,1.11176521,8.658401132,4.196615628
Re-entrant,649,PLA,dense elastomer,33.96007573,10,2.5,0.255873125,0.05,0.255873125,12.67630099,9.917813534
Re-entrant,650,PLA,foamed elastomer,33.96007573,10,2.5,0.255873125,0.05,0.255873125,12.67630099,9.917813534
Re-entrant,651,PLA,none,33.96007573,10,2.5,0.255873125,0.05,0.255873125,12.67630099,9.917813534
Re-entrant,652,PLA,dense elastomer,35.46664829,10,2.5,0.442021273,0.05,0.442021273,14.61968325,10.67598215
Re-entrant,653,PLA,foamed elastomer,35.46664829,10,2.5,0.442021273,0.05,0.442021273,14.61968325,10.67598215
Re-entrant,654,PLA,none,35.46664829,10,2.5,0.442021273,0.05,0.442021273,14.61968325,10.67598215
Re-entrant,655,PLA,dense elastomer,10.63010542,10,2.5,0.570180258,0.05,0.570180258,3.076278633,1.970392784
Re-entrant,656,PLA,foamed elastomer,10.63010542,10,2.5,0.570180258,0.05,0.570180258,3.076278633,1.970392784
Re-entrant,657,PLA,none,10.63010542,10,2.5,0.570180258,0.05,0.570180258,3.076278633,1.970392784
Re-entrant,658,PLA,dense elastomer,35.87970605,10,2.5,0.877048554,0.05,0.877048554,9.962478763,10.94931242
Re-entrant,659,PLA,foamed elastomer,35.87970605,10,2.5,0.877048554,0.05,0.877048554,9.962478763,10.94931242
Re-entrant,660,PLA,none,35.87970605,10,2.5,0.877048554,0.05,0.877048554,9.962478763,10.94931242
Re-entrant,661,PLA,dense elastomer,12.98580389,10,2.5,0.869489017,0.05,0.869489017,3.054120615,3.600713264
Re-entrant,662,PLA,foamed elastomer,12.98580389,10,2.5,0.869489017,0.05,0.869489017,3.054120615,3.600713264
Re-entrant,663,PLA,none,12.98580389,10,2.5,0.869489017,0.05,0.869489017,3.054120615,3.600713264
Re-entrant,664,PLA,dense elastomer,41.47281929,10,2.5,0.459821782,0.05,0.459821782,9.462333956,17.3212349
Re-entrant,665,PLA,foamed elastomer,41.47281929,10,2.5,0.459821782,0.05,0.459821782,9.462333956,17.3212349
Re-entrant,666,PLA,none,41.47281929,10,2.5,0.459821782,0.05,0.459821782,9.462333956,17.3212349
Re-entrant,667,PLA,dense elastomer,17.29794441,10,2.5,0.325629791,0.05,0.325629791,2.34611234,3.364575962
Re-entrant,668,PLA,foamed elastomer,17.29794441,10,2.5,0.325629791,0.05,0.325629791,2.34611234,3.364575962
Re-entrant,669,PLA,none,17.29794441,10,2.5,0.325629791,0.05,0.325629791,2.34611234,3.364575962
Re-entrant,670,PLA,dense elastomer,18.43382073,10,2.5,1.20792164,0.05,1.20792164,6.236014225,4.776223998
Re-entrant,671,PLA,foamed elastomer,18.43382073,10,2.5,1.20792164,0.05,1.20792164,6.236014225,4.776223998
Re-entrant,672,PLA,none,18.43382073,10,2.5,1.20792164,0.05,1.20792164,6.236014225,4.776223998
Re-entrant,673,PLA,dense elastomer,37.22356492,10,2.5,1.040528248,0.05,1.040528248,7.096899003,10.93025902
Re-entrant,674,PLA,foamed elastomer,37.22356492,10,2.5,1.040528248,0.05,1.040528248,7.096899003,10.93025902
Re-entrant,675,PLA,none,37.22356492,10,2.5,1.040528248,0.05,1.040528248,7.096899003,10.93025902
Re-entrant,676,PLA,dense elastomer,30.47845692,10,2.5,0.965083993,0.05,0.965083993,10.25763865,11.63863773
Re-entrant,677,PLA,foamed elastomer,30.47845692,10,2.5,0.965083993,0.05,0.965083993,10.25763865,11.63863773
Re-entrant,678,PLA,none,30.47845692,10,2.5,0.965083993,0.05,0.965083993,10.25763865,11.63863773
Re-entrant,679,PLA,dense elastomer,11.19849392,10,2.5,1.24899773,0.05,1.24899773,3.499649877,3.046209769
Re-entrant,680,PLA,foamed elastomer,11.19849392,10,2.5,1.24899773,0.05,1.24899773,3.499649877,3.046209769
Re-entrant,681,PLA,none,11.19849392,10,2.5,1.24899773,0.05,1.24899773,3.499649877,3.046209769
Re-entrant,682,PLA,dense elastomer,19.75627115,10,2.5,0.330976694,0.05,0.330976694,3.331329377,4.07542814
Re-entrant,683,PLA,foamed elastomer,19.75627115,10,2.5,0.330976694,0.05,0.330976694,3.331329377,4.07542814
Re-entrant,684,PLA,none,19.75627115,10,2.5,0.330976694,0.05,0.330976694,3.331329377,4.07542814
Re-entrant,685,PLA,dense elastomer,35.1413525,10,2.5,0.960055157,0.05,0.960055157,12.00757365,5.595985358
Re-entrant,686,PLA,foamed elastomer,35.1413525,10,2.5,0.960055157,0.05,0.960055157,12.00757365,5.595985358
Re-entrant,687,PLA,none,35.1413525,10,2.5,0.960055157,0.05,0.960055157,12.00757365,5.595985358
Re-entrant,688,PLA,dense elastomer,13.55254271,10,2.5,1.228821312,0.05,1.228821312,4.061201135,5.755408609
Re-entrant,689,PLA,foamed elastomer,13.55254271,10,2.5,1.228821312,0.05,1.228821312,4.061201135,5.755408609
Re-entrant,690,PLA,none,13.55254271,10,2.5,1.228821312,0.05,1.228821312,4.061201135,5.755408609
Re-entrant,691,PLA,dense elastomer,38.33754753,10,2.5,0.789425957,0.05,0.789425957,13.37867649,5.452138742
Re-entrant,692,PLA,foamed elastomer,38.33754753,10,2.5,0.789425957,0.05,0.789425957,13.37867649,5.452138742
Re-entrant,693,PLA,none,38.33754753,10,2.5,0.789425957,0.05,0.789425957,13.37867649,5.452138742
Re-entrant,694,PLA,dense elastomer,43.682757,10,2.5,1.000055675,0.05,1.000055675,10.04259541,16.55478473
Re-entrant,695,PLA,foamed elastomer,43.682757,10,2.5,1.000055675,0.05,1.000055675,10.04259541,16.55478473
Re-entrant,696,PLA,none,43.682757,10,2.5,1.000055675,0.05,1.000055675,10.04259541,16.55478473
Re-entrant,697,PLA,dense elastomer,39.30867847,10,2.5,0.310945927,0.05,0.310945927,10.1447393,10.30694272
Re-entrant,698,PLA,foamed elastomer,39.30867847,10,2.5,0.310945927,0.05,0.310945927,10.1447393,10.30694272
Re-entrant,699,PLA,none,39.30867847,10,2.5,0.310945927,0.05,0.310945927,10.1447393,10.30694272
Re-entrant,700,PLA,dense elastomer,25.68396182,10,2.5,0.360177512,0.05,0.360177512,6.352839469,5.167984649
Re-entrant,701,PLA,foamed elastomer,25.68396182,10,2.5,0.360177512,0.05,0.360177512,6.352839469,5.167984649
Re-entrant,702,PLA,none,25.68396182,10,2.5,0.360177512,0.05,0.360177512,6.352839469,5.167984649
Re-entrant,703,PLA,dense elastomer,13.05403392,10,2.5,0.621470136,0.05,0.621470136,3.329428371,3.194020644
Re-entrant,704,PLA,foamed elastomer,13.05403392,10,2.5,0.621470136,0.05,0.621470136,3.329428371,3.194020644
Re-entrant,705,PLA,none,13.05403392,10,2.5,0.621470136,0.05,0.621470136,3.329428371,3.194020644
Re-entrant,706,PLA,dense elastomer,47.24487038,10,2.5,0.883413605,0.05,0.883413605,15.77090797,6.29947206
Re-entrant,707,PLA,foamed elastomer,47.24487038,10,2.5,0.883413605,0.05,0.883413605,15.77090797,6.29947206
Re-entrant,708,PLA,none,47.24487038,10,2.5,0.883413605,0.05,0.883413605,15.77090797,6.29947206
Re-entrant,709,PLA,dense elastomer,24.81397573,10,2.5,0.505114027,0.05,0.505114027,7.991910607,8.828813014
Re-entrant,710,PLA,foamed elastomer,24.81397573,10,2.5,0.505114027,0.05,0.505114027,7.991910607,8.828813014
Re-entrant,711,PLA,none,24.81397573,10,2.5,0.505114027,0.05,0.505114027,7.991910607,8.828813014
Re-entrant,712,PLA,dense elastomer,32.14191737,10,2.5,0.943365399,0.05,0.943365399,6.614372155,6.311594592
Re-entrant,713,PLA,foamed elastomer,32.14191737,10,2.5,0.943365399,0.05,0.943365399,6.614372155,6.311594592
Re-entrant,714,PLA,none,32.14191737,10,2.5,0.943365399,0.05,0.943365399,6.614372155,6.311594592
Re-entrant,715,PLA,dense elastomer,42.46730255,10,2.5,0.26748287,0.05,0.26748287,7.73804304,8.842963096
Re-entrant,716,PLA,foamed elastomer,42.46730255,10,2.5,0.26748287,0.05,0.26748287,7.73804304,8.842963096
Re-entrant,717,PLA,none,42.46730255,10,2.5,0.26748287,0.05,0.26748287,7.73804304,8.842963096
Re-entrant,718,PLA,dense elastomer,45.59409079,10,2.5,0.427064403,0.05,0.427064403,8.887022465,15.11088575
Re-entrant,719,PLA,foamed elastomer,45.59409079,10,2.5,0.427064403,0.05,0.427064403,8.887022465,15.11088575
Re-entrant,720,PLA,none,45.59409079,10,2.5,0.427064403,0.05,0.427064403,8.887022465,15.11088575
Re-entrant,721,PLA,dense elastomer,30.93108999,10,2.5,0.597346289,0.05,0.597346289,6.78904947,7.861516197
Re-entrant,722,PLA,foamed elastomer,30.93108999,10,2.5,0.597346289,0.05,0.597346289,6.78904947,7.861516197
Re-entrant,723,PLA,none,30.93108999,10,2.5,0.597346289,0.05,0.597346289,6.78904947,7.861516197
Re-entrant,724,PLA,dense elastomer,24.08923961,10,2.5,0.738751713,0.05,0.738751713,3.743439537,6.11626821
Re-entrant,725,PLA,foamed elastomer,24.08923961,10,2.5,0.738751713,0.05,0.738751713,3.743439537,6.11626821
Re-entrant,726,PLA,none,24.08923961,10,2.5,0.738751713,0.05,0.738751713,3.743439537,6.11626821
Re-entrant,727,PLA,dense elastomer,43.36551003,10,2.5,0.368975223,0.05,0.368975223,12.41287134,16.86758807
Re-entrant,728,PLA,foamed elastomer,43.36551003,10,2.5,0.368975223,0.05,0.368975223,12.41287134,16.86758807
Re-entrant,729,PLA,none,43.36551003,10,2.5,0.368975223,0.05,0.368975223,12.41287134,16.86758807
Re-entrant,730,PLA,dense elastomer,16.33052005,10,2.5,0.63149145,0.05,0.63149145,4.588935731,5.077927549
Re-entrant,731,PLA,foamed elastomer,16.33052005,10,2.5,0.63149145,0.05,0.63149145,4.588935731,5.077927549
Re-entrant,732,PLA,none,16.33052005,10,2.5,0.63149145,0.05,0.63149145,4.588935731,5.077927549
Re-entrant,733,PLA,dense elastomer,38.15648905,10,2.5,0.472891936,0.05,0.472891936,7.628355536,14.41106413
Re-entrant,734,PLA,foamed elastomer,38.15648905,10,2.5,0.472891936,0.05,0.472891936,7.628355536,14.41106413
Re-entrant,735,PLA,none,38.15648905,10,2.5,0.472891936,0.05,0.472891936,7.628355536,14.41106413
Re-entrant,736,PLA,dense elastomer,42.06245786,10,2.5,0.454430948,0.05,0.454430948,7.752932299,13.64823413
Re-entrant,737,PLA,foamed elastomer,42.06245786,10,2.5,0.454430948,0.05,0.454430948,7.752932299,13.64823413
Re-entrant,738,PLA,none,42.06245786,10,2.5,0.454430948,0.05,0.454430948,7.752932299,13.64823413
Re-entrant,739,PLA,dense elastomer,34.63277333,10,2.5,0.976801089,0.05,0.976801089,5.976499074,13.01798023
Re-entrant,740,PLA,foamed elastomer,34.63277333,10,2.5,0.976801089,0.05,0.976801089,5.976499074,13.01798023
Re-entrant,741,PLA,none,34.63277333,10,2.5,0.976801089,0.05,0.976801089,5.976499074,13.01798023
Re-entrant,742,PLA,dense elastomer,38.58117942,10,2.5,0.475640822,0.05,0.475640822,10.25662095,11.38483242
Re-entrant,743,PLA,foamed elastomer,38.58117942,10,2.5,0.475640822,0.05,0.475640822,10.25662095,11.38483242
Re-entrant,744,PLA,none,38.58117942,10,2.5,0.475640822,0.05,0.475640822,10.25662095,11.38483242
Re-entrant,745,PLA,dense elastomer,17.05927471,10,2.5,0.305063734,0.05,0.305063734,4.281900759,2.761143317
Re-entrant,746,PLA,foamed elastomer,17.05927471,10,2.5,0.305063734,0.05,0.305063734,4.281900759,2.761143317
Re-entrant,747,PLA,none,17.05927471,10,2.5,0.305063734,0.05,0.305063734,4.281900759,2.761143317
Re-entrant,748,PLA,dense elastomer,43.15628625,10,2.5,0.358343679,0.05,0.358343679,11.66977844,16.42898462
Re-entrant,749,PLA,foamed elastomer,43.15628625,10,2.5,0.358343679,0.05,0.358343679,11.66977844,16.42898462
Re-entrant,750,PLA,none,43.15628625,10,2.5,0.358343679,0.05,0.358343679,11.66977844,16.42898462
Re-entrant,751,PLA,dense elastomer,28.08112356,10,2.5,0.728182889,0.05,0.728182889,4.714521173,11.2205525
